word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code	quality_tier	playfulness_score	concreteness_score
aalii	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		L	3	0	2
aaliis	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:aalii	LS	4	0	-13
aaron	5	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	RN	3	0	1
aaronic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		RNK	2	0	0
abaca	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABK	3	0	2
abacas	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abaca	ABKS	4	0	-8
abaci	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABS	3	0	2
abacus	6	0	1	0	0	1	0	0	eff,english_alpha	1	0		ABKS	2	0	2
abalone	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABLN	4	0	-13
abamp	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABMP	3	0	-2
abamps	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abamp	ABMPS	4	0	-12
abandon	7	0	1	0	0	1	0	0	bip39,english_alpha	1	0		ABNTN	2	0	-2
abas	4	0	1	0	0	1	0	0	english_alpha	0	0		ABS	4	0	-8
abased	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABST	2	0	0
abashed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABXT	2	0	0
abasia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABX	4	0	-12
abasias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABXS	4	0	-12
abasic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABSK	4	-11	0
abatic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABTK	4	-11	0
abating	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABTNK	2	0	0
abatis	6	0	1	0	0	1	0	0	english_alpha	0	0		ABTS	4	0	-8
abator	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR	4	0	-10
abators	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTRS	4	0	-10
abattis	7	0	1	0	0	1	0	0	english_alpha	0	0		ABTS	4	0	-8
abaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABKSL	2	0	0
abaya	5	0	1	0	0	1	0	0	wordle_guesses	1	0		ABY	3	0	2
abbacy	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABS	4	0	-8
abbe	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AB	4	0	-10
abbes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:abbe	ABS	3	0	0
abbess	6	0	1	0	0	1	0	0	english_alpha	0	0	demographic:manual	ABS	4	0	-10
abbey	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	brand:manual	AB	2	0	2
abbeys	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abbey	ABS	4	0	-8
abbot	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABT	2	0	0
abbots	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTS	4	0	-10
abdomen	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		ABTMN	2	0	2
abel	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABL	4	0	-10
abele	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABL	3	0	2
abeles	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:abele	ABLS	4	0	-13
abelia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABL	4	0	-13
abettal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTL	4	0	-12
abetter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR	4	0	-10
abettor	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR	4	0	-10
abeyant	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABYNT	2	0	0
abfarad	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFRT	4	0	-12
abhenry	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABHNR	4	0	-12
abiding	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABTNK	2	0	0
abience	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABNS	4	0	-12
abient	6	1	0	0	1	0	0	0	english_alpha	0	0		ABNT	4	-11	0
abies	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABS	3	0	2
abilene	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLN	4	0	-8
ability	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		ABLT	1	0	-1
abiotic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABTK	2	0	0
abject	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABJKT	2	0	0
abjurer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABJRR	4	0	-10
abkhas	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABKHS	4	0	-10
ablated	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABLTT	2	0	0
ablaut	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLT	4	0	-12
ablauts	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLTS	4	0	-12
ablaze	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABLS	2	2	0
