word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason
aalii	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
aaliis	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:aalii
aaron	5	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic
aaronic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abaca	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abacas	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abaca
abaci	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abacus	6	0	1	0	0	1	0	0	eff,english_alpha	1	0	
abalone	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
abamp	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abamps	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abamp
abandon	7	0	1	0	0	1	0	0	bip39,english_alpha	1	0	
abas	4	0	1	0	0	1	0	0	english_alpha	0	0	
abased	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abashed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abasia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abasias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abasic	6	1	0	0	1	0	0	0	english_alpha	0	0	
abatic	6	1	0	0	1	0	0	0	english_alpha	0	0	
abating	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abatis	6	0	1	0	0	1	0	0	english_alpha	0	0	
abator	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abators	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abattis	7	0	1	0	0	1	0	0	english_alpha	0	0	
abaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abaya	5	0	1	0	0	1	0	0	wordle_guesses	1	0	
abbacy	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abbe	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abbes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:abbe
abbess	6	0	1	0	0	1	0	0	english_alpha	0	0	demographic:manual
abbey	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	brand:manual
abbeys	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abbey
abbot	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	
abbots	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abdomen	7	0	1	0	0	1	0	0	eff,english_alpha	1	0	
abel	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abele	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abeles	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:abele
abelia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
abettal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abetter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abettor	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abeyant	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abfarad	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abhenry	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abiding	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0	
abience	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abient	6	1	0	0	1	0	0	0	english_alpha	0	0	
abies	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abilene	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
ability	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0	
abiotic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abject	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abjurer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abkhas	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
ablated	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
ablaut	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
ablauts	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
ablaze	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0	
able	4	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0	
abler	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	comparative:able
ablest	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	superlative:able
abloom	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
ablush	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abnaki	6	1	1	0	1	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abode	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	
abodes	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abode
abohm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abohms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abohm
aboral	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abort	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	
aborts	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abort
abortus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
abos	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
aboulia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
aboulic	7	1	0	0	1	0	0	0	english_alpha	0	0	
about	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0	
above	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0	
aboves	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abraded	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0	
abrader	7	0	1	0	0	1	0	0	english_alpha	0	0	
abraham	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic
abramis	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
abreast	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0	
abroach	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abroad	6	1	0	0	1	0	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0	
abronia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
abrupt	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abscess	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abseil	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abseils	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
absence	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0	
absent	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0	
absinth	7	0	1	0	0	1	0	0	english_alpha	0	0	
absurd	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,simple_adjectives	1	0	
absurds	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abulia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abulias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abulic	6	1	0	0	1	0	0	0	english_alpha	0	0	
abuse	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0	
abused	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abuser	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abusers	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abuses	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abuse
abusive	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abutter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
abuzz	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	
abvolt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abvolts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abwatt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abwatts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
abysm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	
abysmal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abysms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abysm
abyss	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	
abyssal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	
abysses	7	0	1	0	0	1	0	0	english_alpha	0	0	plural:abyss
acacia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
acacias	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
academe	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard
academy	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	
acadia	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic
acadian	7	1	1	0	0	1	1	0	english_alpha,simple_adjectives	1	0	proper_noun:lex_heuristic
acantha	7	0	1	0	0	1	0	0	english_alpha	0	0	
acanthi	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard
