word	length	is_adjective	is_noun	is_other	wn_adj	wn_noun	ref_adj	ref_noun	source_set	is_corroborated	biology_obscure	drop_reason	metaphone_code
aalii	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		L
aaliis	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:aalii	LS
aaron	5	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	RN
aaronic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		RNK
abaca	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABK
abacas	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abaca	ABKS
abaci	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABS
abacus	6	0	1	0	0	1	0	0	eff,english_alpha	1	0		ABKS
abalone	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABLN
abamp	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABMP
abamps	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abamp	ABMPS
abandon	7	0	1	0	0	1	0	0	bip39,english_alpha	1	0		ABNTN
abas	4	0	1	0	0	1	0	0	english_alpha	0	0		ABS
abased	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABST
abashed	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABXT
abasia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABX
abasias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABXS
abasic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABSK
abatic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABTK
abating	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABTNK
abatis	6	0	1	0	0	1	0	0	english_alpha	0	0		ABTS
abator	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR
abators	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTRS
abattis	7	0	1	0	0	1	0	0	english_alpha	0	0		ABTS
abaxial	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABKSL
abaya	5	0	1	0	0	1	0	0	wordle_guesses	1	0		ABY
abbacy	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABS
abbe	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	AB
abbes	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0	plural:abbe	ABS
abbess	6	0	1	0	0	1	0	0	english_alpha	0	0	demographic:manual	ABS
abbey	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0	brand:manual	AB
abbeys	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abbey	ABS
abbot	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABT
abbots	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTS
abdomen	7	0	1	0	0	1	0	0	eff,english_alpha	1	0		ABTMN
abel	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABL
abele	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABL
abeles	6	0	1	0	0	1	0	0	english_alpha	0	1	plural:abele	ABLS
abelia	6	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABL
abettal	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTL
abetter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR
abettor	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR
abeyant	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABYNT
abfarad	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFRT
abhenry	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABHNR
abiding	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABTNK
abience	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABNS
abient	6	1	0	0	1	0	0	0	english_alpha	0	0		ABNT
abies	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABS
abilene	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLN
ability	7	0	1	0	0	1	0	0	bip39,eff,english_alpha,google_10000	1	0		ABLT
abiotic	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABTK
abject	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABJKT
abjurer	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABJRR
abkhas	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABKHS
ablated	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABLTT
ablaut	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLT
ablauts	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABLTS
ablaze	6	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABLS
able	4	1	0	0	1	0	1	0	bip39,eff,english_alpha,google_10000,simple_adjectives	1	0		ABL
abler	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0	comparative:able	ABLR
ablest	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0	superlative:able	ABLST
abloom	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABLM
ablush	6	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABLX
abnaki	6	1	1	0	1	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABNK
abode	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABT
abodes	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abode	ABTS
abohm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABM
abohms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abohm	ABMS
aboral	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRL
abort	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABRT
aborts	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abort	ABRTS
abortus	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRTS
abos	4	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABS
aboulia	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABL
aboulic	7	1	0	0	1	0	0	0	english_alpha	0	0		ABLK
about	5	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		ABT
above	5	1	1	0	1	1	1	0	bip39,english_alpha,google_10000,simple_adjectives,wordle_answers	1	0		ABF
aboves	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABFS
abraded	7	1	0	0	0	0	1	0	english_alpha,simple_adjectives	1	0		ABRTT
abrader	7	0	1	0	0	1	0	0	english_alpha	0	0		ABRTR
abraham	7	0	1	0	0	1	0	0	english_alpha,google_10000	1	0	proper_noun:lex_heuristic	ABRHM
abramis	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRMS
abreast	7	1	0	0	1	0	1	0	eff,english_alpha,simple_adjectives	1	0		ABRST
abroach	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRX
abroad	6	1	0	0	1	0	1	0	eff,english_alpha,google_10000,simple_adjectives	1	0		ABRT
abronia	7	0	1	0	0	1	0	0	english_alpha	0	1	biology_genus:hard	ABRN
abrupt	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABRPT
abscess	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSSS
abseil	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSL
abseils	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSLS
absence	7	0	1	0	0	1	0	0	eff,english_alpha,google_10000	1	0		ABSNS
absent	6	1	0	0	1	0	1	0	bip39,english_alpha,google_10000,simple_adjectives	1	0		ABSNT
absinth	7	0	1	0	0	1	0	0	english_alpha	0	0		ABSN0
absurd	6	1	1	0	1	1	1	0	bip39,eff,english_alpha,simple_adjectives	1	0		ABSRT
absurds	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABSRTS
abulia	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABL
abulias	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABLS
abulic	6	1	0	0	1	0	0	0	english_alpha	0	0		ABLK
abuse	5	0	1	0	0	1	0	0	bip39,english_alpha,google_10000,wordle_answers	1	0		ABS
abused	6	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABST
abuser	6	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABSR
abusers	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABSRS
abuses	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abuse	ABSS
abusive	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSF
abutter	7	0	1	0	0	1	0	0	english_alpha	0	0	proper_noun:lex_heuristic	ABTR
abuzz	5	1	0	0	1	0	1	0	english_alpha,simple_adjectives,wordle_guesses	1	0		ABS
abvolt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFLT
abvolts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABFLTS
abwatt	6	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABWT
abwatts	7	0	1	0	0	1	0	0	english_alpha	0	0	uncorroborated_abstract_noun:hard	ABWTS
abysm	5	0	1	0	0	1	0	0	english_alpha,wordle_guesses	1	0		ABSM
abysmal	7	1	0	0	1	0	1	0	english_alpha,simple_adjectives	1	0		ABSML
abysms	6	0	1	0	0	1	0	0	english_alpha	0	0	plural:abysm	ABSMS
abyss	5	0	1	0	0	1	0	0	english_alpha,wordle_answers	1	0		ABS
